ISBN,书名,作者,品类,定价,出版日期
9781043321819,百年孤独,张华,文学,56.88,2020-08-11
9783890838637,红楼梦,张强,文学,63.57,2021-12-15
9786542351161,活着,杨军,文学,54.36,2022-04-06
9780781618495,平凡的世界,李明,文学,63.09,2021-11-08
9783413164752,围城,刘军,文学,54.81,2021-12-19
9781928327648,三体,杨明,文学,48.78,2020-08-22
9780564139537,夜晚的潜水艇,赵强,文学,55.83,2020-09-28
9782388496965,秋园,王静,文学,48.77,2020-04-03
9780122691669,文城,陈明,文学,79.84,2021-11-27
9781845146270,长安的荔枝,陈强,文学,78.15,2021-06-03
9781489325288,人类简史,杨静,社科,86.74,2020-01-20
9781543039117,未来简史,王强,社科,82.64,2021-11-06
9787824896383,原则,黄芳,社科,78.52,2021-03-24
9788713315098,思考，快与慢,刘明,社科,59.2,2020-03-13
9780310518347,乌合之众,王静,社科,58.57,2020-09-05
9787631165667,影响力,张华,社科,84.55,2020-03-03
9786513338726,枪炮、病菌与钢铁,赵丽,社科,57.34,2022-06-14
9781781080132,自私的基因,赵丽,社科,66.26,2022-06-04
9786026064746,万历十五年,赵强,社科,77.86,2020-07-13
9784309805009,乡土中国,王明,社科,69.07,2022-09-10
9788121913619,深度学习,张华,科技,79.85,2021-03-05
9789985435346,算法导论,陈静,科技,75.24,2020-11-19
9781079911838,代码大全,杨华,科技,80.61,2022-06-19
9783542784980,设计模式,陈华,科技,96.71,2022-08-19
9782411824493,重构,刘军,科技,98.7,2021-06-01
9787401640052,程序员修炼之道,陈强,科技,95.48,2022-01-29
9787868011280,计算机程序的构造和解释,王伟,科技,103.38,2020-05-10
9780450533158,编程珠玑,黄强,科技,105.37,2022-08-05
9783226025634,人月神话,李伟,科技,76.37,2022-06-12
9780733754330,浪潮之巅,黄芳,科技,96.4,2020-10-12
9781458685014,小王子,陈明,少儿,37.14,2020-04-21
9789655698169,哈利波特,张伟,少儿,37.6,2020-01-02
9788835615951,夏洛的网,陈军,少儿,58.79,2021-11-13
9786564823662,窗边的小豆豆,陈伟,少儿,54.62,2021-07-15
9780443699577,草房子,刘静,少儿,47.69,2022-03-23
9782148951343,狼王梦,王明,少儿,62.26,2020-02-17
9783791769367,青铜葵花,王明,少儿,45.99,2022-07-03
9781632870831,了不起的狐狸爸爸,赵芳,少儿,48.26,2022-08-30
9787986872774,皮皮鲁传,陈静,少儿,60.07,2021-10-03
9783471434558,葫芦兄弟,王丽,少儿,33.22,2021-01-27
9782316658760,高等数学,黄伟,教辅,51.27,2022-07-15
9789096705466,线性代数,刘静,教辅,64.53,2020-08-12
9784670656272,大学英语,张伟,教辅,82.23,2021-08-29
9789016272046,C++程序设计,赵芳,教辅,56.09,2020-12-11
9786464170805,数据结构,李明,教辅,51.97,2022-02-11
9780330923271,计算机网络,刘静,教辅,65.56,2021-12-17
9784529912419,操作系统,陈伟,教辅,44.03,2021-02-10
9783193149190,数据库原理,黄芳,教辅,56.89,2020-03-11
9788506716572,软件工程,陈静,教辅,60.42,2021-04-21
9786945314737,考研英语,黄芳,教辅,65.79,2020-01-30
